GeneID,Chromosome,Start,End,Strand,Length,Class,Assembly,Old_GeneID,Description,Name
SAUSA300_RS00925,NC_007793.1,198053,198814,+,762,protein_coding,GCF_000013465.1,SAUSA300_0176,ABC transporter permease,NA
SAUSA300_RS00930,NC_007793.1,198827,199858,+,1032,protein_coding,GCF_000013465.1,SAUSA300_0177,acyl-CoA/acyl-ACP dehydrogenase,NA
SAUSA300_RS00935,NC_007793.1,200075,200434,+,360,protein_coding,GCF_000013465.1,SAUSA300_0178,DUF2294 domain-containing protein,NA
SAUSA300_RS00940,NC_007793.1,200607,201632,+,1026,protein_coding,GCF_000013465.1,SAUSA300_0179,NAD-dependent formate dehydrogenase,NA
SAUSA300_RS00945,NC_007793.1,202018,203268,+,1251,protein_coding,GCF_000013465.1,SAUSA300_0180,MFS transporter,NA
SAUSA300_RS00950,NC_007793.1,203715,210890,+,7176,protein_coding,GCF_000013465.1,SAUSA300_0181,non-ribosomal peptide synthetase,NA
SAUSA300_RS00955,NC_007793.1,210903,211547,+,645,protein_coding,GCF_000013465.1,SAUSA300_0182,4'-phosphopantetheinyl transferase superfamily protein,NA
SAUSA300_RS00960,NC_007793.1,211875,212354,-,480,protein_coding,GCF_000013465.1,SAUSA300_0183,YagU family protein,NA
SAUSA300_RS00965,NC_007793.1,212624,213388,-,765,protein_coding,GCF_000013465.1,SAUSA300_0184,acetylglutamate kinase,argB
SAUSA300_RS00970,NC_007793.1,213404,214645,-,1242,protein_coding,GCF_000013465.1,SAUSA300_0185,bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ,argJ
SAUSA300_RS00975,NC_007793.1,214657,215688,-,1032,protein_coding,GCF_000013465.1,SAUSA300_0186,N-acetyl-gamma-glutamyl-phosphate reductase,NA
SAUSA300_RS00980,NC_007793.1,215727,216911,-,1185,protein_coding,GCF_000013465.1,SAUSA300_0187,ornithine--oxo-acid transaminase,rocD
SAUSA300_RS00985,NC_007793.1,217164,218519,-,1356,protein_coding,GCF_000013465.1,SAUSA300_0188,branched-chain amino acid transport system II carrier protein,brnQ
SAUSA300_RS00990,NC_007793.1,218795,219352,-,558,protein_coding,GCF_000013465.1,SAUSA300_0189,isochorismatase family protein,NA
SAUSA300_RS00995,NC_007793.1,219419,221059,-,1641,protein_coding,GCF_000013465.1,SAUSA300_0190,alpha-keto acid decarboxylase family protein,NA
SAUSA300_RS01000,NC_007793.1,221253,221354,+,102,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS01005,NC_007793.1,221333,223378,-,2046,protein_coding,GCF_000013465.1,SAUSA300_0191,PTS glucose EIICBA component,NA
SAUSA300_RS01010,NC_007793.1,223979,225019,+,1041,protein_coding,GCF_000013465.1,SAUSA300_0192,DUF871 domain-containing protein,NA
SAUSA300_RS01015,NC_007793.1,225019,225915,+,897,protein_coding,GCF_000013465.1,SAUSA300_0193,N-acetylmuramic acid 6-phosphate etherase,murQ
SAUSA300_RS01020,NC_007793.1,225927,227381,+,1455,protein_coding,GCF_000013465.1,SAUSA300_0194,permease,NA
SAUSA300_RS01025,NC_007793.1,227384,228259,+,876,protein_coding,GCF_000013465.1,SAUSA300_0195,MurR/RpiR family transcriptional regulator,NA
SAUSA300_RS01030,NC_007793.1,228453,228734,-,282,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS01035,NC_007793.1,228947,231736,+,2790,protein_coding,GCF_000013465.1,SAUSA300_0196,type I restriction endonuclease subunit R,NA
SAUSA300_RS01040,NC_007793.1,231941,232783,+,843,protein_coding,GCF_000013465.1,SAUSA300_0197,sce7726 family protein,NA
SAUSA300_RS01045,NC_007793.1,232785,233708,+,924,protein_coding,GCF_000013465.1,SAUSA300_0198,sce7725 family protein,NA
SAUSA300_RS01050,NC_007793.1,233695,234807,+,1113,protein_coding,GCF_000013465.1,SAUSA300_0199,RES family NAD+ phosphorylase,NA
SAUSA300_RS01055,NC_007793.1,235072,236664,-,1593,protein_coding,GCF_000013465.1,SAUSA300_0200,ABC transporter ATP-binding protein,NA
SAUSA300_RS01060,NC_007793.1,236621,238099,+,1479,protein_coding,GCF_000013465.1,SAUSA300_0201,ABC transporter permease,NA
SAUSA300_RS01065,NC_007793.1,238105,239268,+,1164,protein_coding,GCF_000013465.1,SAUSA300_0202,ABC transporter permease,NA
SAUSA300_RS01070,NC_007793.1,239285,241060,+,1776,protein_coding,GCF_000013465.1,SAUSA300_0203,peptide ABC transporter substrate-binding protein,NA
SAUSA300_RS01075,NC_007793.1,241098,243104,+,2007,protein_coding,GCF_000013465.1,SAUSA300_0204,gamma-glutamyltransferase,ggt
SAUSA300_RS01080,NC_007793.1,243402,244175,-,774,protein_coding,GCF_000013465.1,SAUSA300_0205,tandem-type lipoprotein,NA
SAUSA300_RS01085,NC_007793.1,244365,244991,-,627,protein_coding,GCF_000013465.1,SAUSA300_0206,FMN-dependent NADH-azoreductase,NA
SAUSA300_RS01090,NC_007793.1,245200,245778,+,579,protein_coding,GCF_000013465.1,SAUSA300_0207,M23 family metallopeptidase,NA
SAUSA300_RS01095,NC_007793.1,246161,247258,+,1098,protein_coding,GCF_000013465.1,SAUSA300_0208,sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC,ugpC
SAUSA300_RS01100,NC_007793.1,247271,248542,+,1272,protein_coding,GCF_000013465.1,SAUSA300_0209,extracellular solute-binding protein,NA
SAUSA300_RS01105,NC_007793.1,248545,249813,+,1269,protein_coding,GCF_000013465.1,SAUSA300_0210,sugar ABC transporter permease,NA
SAUSA300_RS01110,NC_007793.1,249815,250654,+,840,protein_coding,GCF_000013465.1,SAUSA300_0211,sugar ABC transporter permease,NA
SAUSA300_RS01115,NC_007793.1,250728,251804,+,1077,protein_coding,GCF_000013465.1,SAUSA300_0212,Gfo/Idh/MocA family oxidoreductase,NA
SAUSA300_RS01120,NC_007793.1,251829,252869,+,1041,protein_coding,GCF_000013465.1,SAUSA300_0213,Gfo/Idh/MocA family oxidoreductase,NA
SAUSA300_RS01125,NC_007793.1,252924,253892,+,969,protein_coding,GCF_000013465.1,SAUSA300_0214,sugar phosphate isomerase/epimerase,NA
SAUSA300_RS01130,NC_007793.1,254254,254748,-,495,protein_coding,GCF_000013465.1,SAUSA300_0215,isoprenylcysteine carboxyl methyltransferase family protein,NA
SAUSA300_RS01135,NC_007793.1,254981,256360,+,1380,protein_coding,GCF_000013465.1,SAUSA300_0216,hexose-6-phosphate:phosphate antiporter,uhpT
SAUSA300_RS01140,NC_007793.1,256719,257477,-,759,protein_coding,GCF_000013465.1,SAUSA300_0217,response regulator transcription factor,NA
SAUSA300_RS01145,NC_007793.1,257470,259026,-,1557,protein_coding,GCF_000013465.1,SAUSA300_0218,sensor histidine kinase,NA
SAUSA300_RS01150,NC_007793.1,259023,259991,-,969,protein_coding,GCF_000013465.1,SAUSA300_0219,extracellular solute-binding protein,NA
SAUSA300_RS01155,NC_007793.1,260579,262828,+,2250,protein_coding,GCF_000013465.1,SAUSA300_0220,formate C-acetyltransferase,pflB
SAUSA300_RS01160,NC_007793.1,262851,263606,+,756,protein_coding,GCF_000013465.1,SAUSA300_0221,pyruvate formate lyase-activating protein,pflA
SAUSA300_RS01165,NC_007793.1,263710,263904,+,195,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS01170,NC_007793.1,263942,265705,+,1764,protein_coding,GCF_000013465.1,SAUSA300_0222,glycerophosphoryl diester phosphodiesterase,NA
SAUSA300_RS01175,NC_007793.1,265869,266213,-,345,protein_coding,GCF_000013465.1,SAUSA300_0223,complement inhibitor SCIN family protein,NA
SAUSA300_RS01180,NC_007793.1,266403,268232,+,1830,protein_coding,GCF_000013465.1,SAUSA300_0224,staphylocoagulase,coa
SAUSA300_RS01185,NC_007793.1,268414,268521,-,108,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS01195,NC_007793.1,268835,270019,-,1185,protein_coding,GCF_000013465.1,SAUSA300_0225,thiolase family protein,NA
SAUSA300_RS01200,NC_007793.1,270049,272310,-,2262,protein_coding,GCF_000013465.1,SAUSA300_0226,3-hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase family protein,NA
SAUSA300_RS01205,NC_007793.1,272496,273707,-,1212,protein_coding,GCF_000013465.1,SAUSA300_0227,glutaryl-CoA dehydrogenase,NA
SAUSA300_RS01210,NC_007793.1,273819,275324,-,1506,protein_coding,GCF_000013465.1,SAUSA300_0228,acyl--CoA ligase,NA
SAUSA300_RS01215,NC_007793.1,275350,276927,-,1578,protein_coding,GCF_000013465.1,SAUSA300_0229,acyl CoA:acetate/3-ketoacid CoA transferase,NA
SAUSA300_RS01220,NC_007793.1,277368,278510,+,1143,protein_coding,GCF_000013465.1,SAUSA300_0230,PrsW family intramembrane metalloprotease,NA
SAUSA300_RS01225,NC_007793.1,278824,280236,-,1413,protein_coding,GCF_000013465.1,SAUSA300_0231,ABC transporter substrate-binding protein,NA
SAUSA300_RS01230,NC_007793.1,280497,280853,-,357,protein_coding,GCF_000013465.1,SAUSA300_0232,DUF488 domain-containing protein,NA
SAUSA300_RS01235,NC_007793.1,281010,281183,-,174,protein_coding,GCF_000013465.1,SAUSA300_0233,hypothetical protein,NA
SAUSA300_RS01240,NC_007793.1,281209,282354,-,1146,protein_coding,GCF_000013465.1,SAUSA300_0234,nitric oxide dioxygenase,NA
SAUSA300_RS01245,NC_007793.1,282509,282616,+,108,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS01250,NC_007793.1,282927,283880,+,954,protein_coding,GCF_000013465.1,SAUSA300_0235,L-lactate dehydrogenase,NA
SAUSA300_RS01260,NC_007793.1,284200,285729,-,1530,protein_coding,GCF_000013465.1,SAUSA300_0236,PTS transporter subunit EIIC,NA
SAUSA300_RS01265,NC_007793.1,286091,287026,+,936,protein_coding,GCF_000013465.1,SAUSA300_0237,nucleoside hydrolase,NA
SAUSA300_RS01270,NC_007793.1,287136,287234,+,99,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS01275,NC_007793.1,287365,289461,+,2097,protein_coding,GCF_000013465.1,SAUSA300_0238,transcription antiterminator,NA
SAUSA300_RS01280,NC_007793.1,289446,289913,+,468,protein_coding,GCF_000013465.1,SAUSA300_0239,PTS sugar transporter subunit IIA,NA
SAUSA300_RS01285,NC_007793.1,289936,290214,+,279,protein_coding,GCF_000013465.1,SAUSA300_0240,PTS sugar transporter subunit IIB,NA
SAUSA300_RS01290,NC_007793.1,290441,291700,+,1260,protein_coding,GCF_000013465.1,SAUSA300_0241,PTS galactitol transporter subunit IIC,NA
SAUSA300_RS01295,NC_007793.1,291718,292773,+,1056,protein_coding,GCF_000013465.1,SAUSA300_0242,zinc-binding dehydrogenase,NA
SAUSA300_RS01300,NC_007793.1,292775,292921,+,147,protein_coding,GCF_000013465.1,SAUSA300_0243,hypothetical protein,NA
SAUSA300_RS01305,NC_007793.1,292945,293988,+,1044,protein_coding,GCF_000013465.1,SAUSA300_0244,galactitol-1-phosphate 5-dehydrogenase,NA
SAUSA300_RS01310,NC_007793.1,294516,295232,+,717,protein_coding,GCF_000013465.1,SAUSA300_0245,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,NA
SAUSA300_RS01315,NC_007793.1,295225,296250,+,1026,protein_coding,GCF_000013465.1,SAUSA300_0246,alcohol dehydrogenase,NA
SAUSA300_RS01320,NC_007793.1,296272,297966,+,1695,protein_coding,GCF_000013465.1,SAUSA300_0247,CDP-glycerol glycerophosphotransferase family protein,NA
SAUSA300_RS01325,NC_007793.1,298394,299563,+,1170,protein_coding,GCF_000013465.1,SAUSA300_0248,CDP-glycerol--glycerophosphate glycerophosphotransferase,NA
SAUSA300_RS01330,NC_007793.1,299839,300555,+,717,protein_coding,GCF_000013465.1,SAUSA300_0249,D-ribitol-5-phosphate cytidylyltransferase,NA
SAUSA300_RS01335,NC_007793.1,300548,301573,+,1026,protein_coding,GCF_000013465.1,SAUSA300_0250,zinc-binding dehydrogenase,NA
SAUSA300_RS01340,NC_007793.1,301595,303283,+,1689,protein_coding,GCF_000013465.1,SAUSA300_0251,CDP-glycerol glycerophosphotransferase family protein,NA
SAUSA300_RS01345,NC_007793.1,303316,305040,+,1725,protein_coding,GCF_000013465.1,SAUSA300_0252,glycosyltransferase family 2 protein,NA
SAUSA300_RS01350,NC_007793.1,305180,305854,+,675,protein_coding,GCF_000013465.1,SAUSA300_0253,iron-sulfur cluster repair di-iron protein ScdA,scdA
SAUSA300_RS01355,NC_007793.1,306116,307855,+,1740,protein_coding,GCF_000013465.1,SAUSA300_0254,sensor histidine kinase,NA
SAUSA300_RS01360,NC_007793.1,307858,308598,+,741,protein_coding,GCF_000013465.1,SAUSA300_0255,DNA-binding response regulator,NA
SAUSA300_RS01365,NC_007793.1,308711,309154,+,444,protein_coding,GCF_000013465.1,SAUSA300_0256,antiholin-like murein hydrolase modulator LrgA,lrgA
SAUSA300_RS01370,NC_007793.1,309147,309848,+,702,protein_coding,GCF_000013465.1,SAUSA300_0257,antiholin-like protein LrgB,lrgB
SAUSA300_RS01375,NC_007793.1,309956,310660,-,705,protein_coding,GCF_000013465.1,SAUSA300_0258,GntR family transcriptional regulator,NA
SAUSA300_RS01380,NC_007793.1,310809,311600,+,792,protein_coding,GCF_000013465.1,SAUSA300_0259,hypothetical protein,NA
SAUSA300_RS01385,NC_007793.1,311616,313052,+,1437,protein_coding,GCF_000013465.1,SAUSA300_0260,6-phospho-beta-glucosidase,NA
SAUSA300_RS01395,NC_007793.1,313486,314247,-,762,protein_coding,GCF_000013465.1,SAUSA300_0261,class I SAM-dependent methyltransferase,NA
SAUSA300_RS01400,NC_007793.1,314266,314400,+,135,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS01405,NC_007793.1,314498,315412,-,915,protein_coding,GCF_000013465.1,SAUSA300_0262,ribokinase,rbsK
SAUSA300_RS01410,NC_007793.1,315440,315844,-,405,protein_coding,GCF_000013465.1,SAUSA300_0263,D-ribose pyranase,rbsD
SAUSA300_RS01415,NC_007793.1,315859,316740,-,882,protein_coding,GCF_000013465.1,SAUSA300_0264,ribose transporter RbsU,rbsU
SAUSA300_RS01420,NC_007793.1,316972,317970,-,999,protein_coding,GCF_000013465.1,SAUSA300_0265,LacI family transcriptional regulator,NA
SAUSA300_RS15040,NC_007793.1,318121,318300,+,180,protein_coding,GCF_000013465.1,NA,NADH dehydrogenase,NA
SAUSA300_RS01430,NC_007793.1,318350,318742,+,393,protein_coding,GCF_000013465.1,SAUSA300_0266,hypothetical protein,NA
SAUSA300_RS01435,NC_007793.1,318988,319338,+,351,pseudogene,GCF_000013465.1,SAUSA300_0267,IS1182 family transposase,NA
SAUSA300_RS01440,NC_007793.1,319415,320791,-,1377,protein_coding,GCF_000013465.1,SAUSA300_0268,MFS transporter,NA
SAUSA300_RS01445,NC_007793.1,321025,322017,+,993,protein_coding,GCF_000013465.1,SAUSA300_0269,linear amide C-N hydrolase,NA
SAUSA300_RS01450,NC_007793.1,322343,323293,+,951,protein_coding,GCF_000013465.1,SAUSA300_0270,glycine-glycine endopeptidase LytM,lytM
SAUSA300_RS01455,NC_007793.1,323345,324004,-,660,protein_coding,GCF_000013465.1,SAUSA300_0271,ABC transporter ATP-binding protein,NA
SAUSA300_RS01460,NC_007793.1,324018,324938,-,921,protein_coding,GCF_000013465.1,SAUSA300_0272,ABC transporter permease,NA
SAUSA300_RS01465,NC_007793.1,324935,326101,-,1167,protein_coding,GCF_000013465.1,SAUSA300_0273,ABC transporter permease,NA
SAUSA300_RS01470,NC_007793.1,326169,327692,-,1524,protein_coding,GCF_000013465.1,SAUSA300_0274,hypothetical protein,NA
SAUSA300_RS01475,NC_007793.1,327963,328616,+,654,protein_coding,GCF_000013465.1,SAUSA300_0275,DUF5079 family protein,NA
SAUSA300_RS01480,NC_007793.1,328650,329237,+,588,protein_coding,GCF_000013465.1,SAUSA300_0276,DUF5080 family protein,NA
SAUSA300_RS01485,NC_007793.1,329380,330273,-,894,protein_coding,GCF_000013465.1,SAUSA300_0277,CHAP domain-containing protein,NA
SAUSA300_RS01490,NC_007793.1,330521,330814,+,294,protein_coding,GCF_000013465.1,SAUSA300_0278,WXG100 family type VII secretion effector EsxA,esxA
SAUSA300_RS01495,NC_007793.1,330898,333927,+,3030,protein_coding,GCF_000013465.1,SAUSA300_0279,type VII secretion protein EsaA,esaA
SAUSA300_RS01500,NC_007793.1,333927,334385,+,459,protein_coding,GCF_000013465.1,SAUSA300_0280,type VII secretion protein EssA,essA
SAUSA300_RS01505,NC_007793.1,334318,334599,+,282,protein_coding,GCF_000013465.1,SAUSA300_0281,type VII secretion protein EsaB,NA
SAUSA300_RS01510,NC_007793.1,334612,335946,+,1335,protein_coding,GCF_000013465.1,SAUSA300_0282,type VII secretion protein EssB,essB
SAUSA300_RS01515,NC_007793.1,335968,340407,+,4440,protein_coding,GCF_000013465.1,SAUSA300_0283,type VII secretion protein EssC,essC
SAUSA300_RS01520,NC_007793.1,340437,340829,+,393,protein_coding,GCF_000013465.1,SAUSA300_0284,type VII secretion substrate EsaC,esaC
SAUSA300_RS01525,NC_007793.1,340845,341159,+,315,protein_coding,GCF_000013465.1,SAUSA300_0285,WXG100 family type VII secretion effector EsxB,esxB
SAUSA300_RS01530,NC_007793.1,341159,341833,+,675,protein_coding,GCF_000013465.1,SAUSA300_0286,DUF5081 family protein,NA
SAUSA300_RS01535,NC_007793.1,341833,342150,+,318,protein_coding,GCF_000013465.1,SAUSA300_0287,hypothetical protein,NA
SAUSA300_RS01540,NC_007793.1,342160,344004,+,1845,protein_coding,GCF_000013465.1,SAUSA300_0288,ribonuclease YeeF family protein,NA
SAUSA300_RS01545,NC_007793.1,344015,344506,+,492,protein_coding,GCF_000013465.1,SAUSA300_0289,TIGR01741 family protein,NA
SAUSA300_RS01550,NC_007793.1,344714,345397,+,684,protein_coding,GCF_000013465.1,SAUSA300_0290,DUF5079 family protein,NA
SAUSA300_RS01555,NC_007793.1,345544,346155,+,612,protein_coding,GCF_000013465.1,SAUSA300_0291,DUF5080 family protein,NA
SAUSA300_RS01560,NC_007793.1,346291,346509,+,219,protein_coding,GCF_000013465.1,SAUSA300_0292,hypothetical protein,NA
SAUSA300_RS01565,NC_007793.1,346641,347141,+,501,protein_coding,GCF_000013465.1,SAUSA300_0293,TIGR01741 family protein,NA
SAUSA300_RS01570,NC_007793.1,347152,347652,+,501,protein_coding,GCF_000013465.1,SAUSA300_0294,TIGR01741 family protein,NA
SAUSA300_RS01575,NC_007793.1,347663,348158,+,496,pseudogene,GCF_000013465.1,NA,TIGR01741 family protein,NA
SAUSA300_RS01580,NC_007793.1,348169,348660,+,492,protein_coding,GCF_000013465.1,SAUSA300_0296,TIGR01741 family protein,NA
SAUSA300_RS01585,NC_007793.1,348870,349553,+,684,protein_coding,GCF_000013465.1,SAUSA300_0297,DUF5079 family protein,NA
SAUSA300_RS15725,NC_007793.1,349675,349782,+,108,protein_coding,GCF_000013465.1,NA,DUF5080 family protein,NA
SAUSA300_RS01590,NC_007793.1,350139,350639,+,501,protein_coding,GCF_000013465.1,SAUSA300_0298,TIGR01741 family protein,NA
SAUSA300_RS01595,NC_007793.1,350651,351151,+,501,protein_coding,GCF_000013465.1,SAUSA300_0299,TIGR01741 family protein,NA
SAUSA300_RS01600,NC_007793.1,351162,351662,+,501,protein_coding,GCF_000013465.1,SAUSA300_0300,antitoxin YezG family protein,NA
SAUSA300_RS01605,NC_007793.1,351673,352173,+,501,protein_coding,GCF_000013465.1,SAUSA300_0301,TIGR01741 family protein,NA
SAUSA300_RS01610,NC_007793.1,352184,352672,+,489,protein_coding,GCF_000013465.1,SAUSA300_0302,antitoxin YezG family protein,NA
SAUSA300_RS01615,NC_007793.1,353295,353669,+,375,protein_coding,GCF_000013465.1,SAUSA300_0303,DUF4467 domain-containing protein,NA
SAUSA300_RS01620,NC_007793.1,353822,354220,+,399,protein_coding,GCF_000013465.1,SAUSA300_0304,DUF4064 domain-containing protein,NA
SAUSA300_RS01625,NC_007793.1,354436,355260,-,825,protein_coding,GCF_000013465.1,SAUSA300_0305,formate/nitrite transporter family protein,NA
SAUSA300_RS01630,NC_007793.1,355497,356804,-,1308,protein_coding,GCF_000013465.1,SAUSA300_0306,branched-chain amino acid transport system II carrier protein,brnQ
SAUSA300_RS15045,NC_007793.1,356725,356964,+,240,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS01635,NC_007793.1,357388,358278,+,891,protein_coding,GCF_000013465.1,SAUSA300_0307,"5'-nucleotidase, lipoprotein e(P4) family",NA
SAUSA300_RS01640,NC_007793.1,358295,358528,-,234,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS01645,NC_007793.1,358527,359576,+,1050,protein_coding,GCF_000013465.1,SAUSA300_0308,FtsX-like permease family protein,NA
SAUSA300_RS01650,NC_007793.1,359589,360266,+,678,protein_coding,GCF_000013465.1,SAUSA300_0309,ABC transporter ATP-binding protein,NA
SAUSA300_RS15050,NC_007793.1,360425,360565,-,141,protein_coding,GCF_000013465.1,NA,hypothetical protein,NA
SAUSA300_RS01655,NC_007793.1,360555,361505,+,951,protein_coding,GCF_000013465.1,SAUSA300_0310,PTS sugar transporter subunit IIC,NA
SAUSA300_RS01660,NC_007793.1,361848,362966,+,1119,protein_coding,GCF_000013465.1,SAUSA300_0311,winged helix-turn-helix transcriptional regulator,NA
SAUSA300_RS01665,NC_007793.1,362941,363864,+,924,protein_coding,GCF_000013465.1,SAUSA300_0312,pseudouridine-5'-phosphate glycosidase,NA
SAUSA300_RS01670,NC_007793.1,363875,365095,+,1221,protein_coding,GCF_000013465.1,SAUSA300_0313,NupC/NupG family nucleoside CNT transporter,NA
SAUSA300_RS01675,NC_007793.1,365200,366732,-,1533,protein_coding,GCF_000013465.1,SAUSA300_0314,sodium:solute symporter,NA
SAUSA300_RS01680,NC_007793.1,366772,367653,-,882,protein_coding,GCF_000013465.1,SAUSA300_0315,N-acetylneuraminate lyase,NA
SAUSA300_RS01685,NC_007793.1,367811,368671,+,861,protein_coding,GCF_000013465.1,SAUSA300_0316,ROK family protein,NA
SAUSA300_RS01690,NC_007793.1,368949,369749,-,801,protein_coding,GCF_000013465.1,SAUSA300_0317,MurR/RpiR family transcriptional regulator,NA
SAUSA300_RS01695,NC_007793.1,369889,370557,+,669,protein_coding,GCF_000013465.1,SAUSA300_0318,N-acetylmannosamine-6-phosphate 2-epimerase,NA
SAUSA300_RS01700,NC_007793.1,370684,371997,-,1314,protein_coding,GCF_000013465.1,SAUSA300_0319,YjiH family protein,NA
SAUSA300_RS01705,NC_007793.1,372415,374487,+,2073,protein_coding,GCF_000013465.1,SAUSA300_0320,YSIRK domain-containing triacylglycerol lipase Lip2/Geh,lip2
SAUSA300_RS01710,NC_007793.1,374729,375556,-,828,protein_coding,GCF_000013465.1,SAUSA300_0321,alpha/beta hydrolase,NA
SAUSA300_RS01715,NC_007793.1,375629,376828,-,1200,protein_coding,GCF_000013465.1,SAUSA300_0322,NADH-dependent flavin oxidoreductase,NA
SAUSA300_RS01720,NC_007793.1,376924,377016,+,93,protein_coding,GCF_000013465.1,SAUSA300_0323,hypothetical protein,NA
SAUSA300_RS01725,NC_007793.1,377130,378131,+,1002,protein_coding,GCF_000013465.1,SAUSA300_0324,LLM class flavin-dependent oxidoreductase,NA
SAUSA300_RS01730,NC_007793.1,378165,378497,+,333,protein_coding,GCF_000013465.1,SAUSA300_0325,glycine cleavage system protein H,NA
